asm|cpu|synth
ioi ldd (hl), c'|r6k|ioi ld (hl), c';dec hl
ioi ldd (hl), d|r2ka|ioi ld (hl), d;dec hl
ioi ldd (hl), d|r3k|ioi ld (hl), d;dec hl
ioi ldd (hl), d|r4k|ioi ld (hl), d;dec hl
ioi ldd (hl), d|r5k|ioi ld (hl), d;dec hl
ioi ldd (hl), d|r6k|ioi ld (hl), d;dec hl
ioi ldd (hl), d'|r6k|ioi ld (hl), d';dec hl
ioi ldd (hl), e|r2ka|ioi ld (hl), e;dec hl
ioi ldd (hl), e|r3k|ioi ld (hl), e;dec hl
ioi ldd (hl), e|r4k|ioi ld (hl), e;dec hl
ioi ldd (hl), e|r5k|ioi ld (hl), e;dec hl
ioi ldd (hl), e|r6k|ioi ld (hl), e;dec hl
ioi ldd (hl), e'|r6k|ioi ld (hl), e';dec hl
ioi ldd (hl), h|r2ka|ioi ld (hl), h;dec hl
ioi ldd (hl), h|r3k|ioi ld (hl), h;dec hl
ioi ldd (hl), h|r4k|ioi ld (hl), h;dec hl
ioi ldd (hl), h|r5k|ioi ld (hl), h;dec hl
ioi ldd (hl), h|r6k|ioi ld (hl), h;dec hl
ioi ldd (hl), h'|r6k|ioi ld (hl), h';dec hl
ioi ldd (hl), l|r2ka|ioi ld (hl), l;dec hl
ioi ldd (hl), l|r3k|ioi ld (hl), l;dec hl
ioi ldd (hl), l|r4k|ioi ld (hl), l;dec hl
ioi ldd (hl), l|r5k|ioi ld (hl), l;dec hl
ioi ldd (hl), l|r6k|ioi ld (hl), l;dec hl
ioi ldd (hl), l'|r6k|ioi ld (hl), l';dec hl
ioi ldd a', (bc)|r2ka|ioi ld a', (bc);dec bc
ioi ldd a', (bc)|r3k|ioi ld a', (bc);dec bc
ioi ldd a', (bc)|r4k|ioi ld a', (bc);dec bc
ioi ldd a', (bc)|r5k|ioi ld a', (bc);dec bc
ioi ldd a', (bc)|r6k|ioi ld a', (bc);dec bc
ioi ldd a', (de)|r2ka|ioi ld a', (de);dec de
ioi ldd a', (de)|r3k|ioi ld a', (de);dec de
ioi ldd a', (de)|r4k|ioi ld a', (de);dec de
ioi ldd a', (de)|r5k|ioi ld a', (de);dec de
ioi ldd a', (de)|r6k|ioi ld a', (de);dec de
ioi ldd a', (hl)|r2ka|ioi ld a', (hl);dec hl
ioi ldd a', (hl)|r3k|ioi ld a', (hl);dec hl
ioi ldd a', (hl)|r4k|ioi ld a', (hl);dec hl
ioi ldd a', (hl)|r5k|ioi ld a', (hl);dec hl
ioi ldd a', (hl)|r6k|ioi ld a', (hl);dec hl
ioi ldd a, (bc)|r2ka|ioi ld a, (bc);dec bc
ioi ldd a, (bc)|r3k|ioi ld a, (bc);dec bc
ioi ldd a, (bc)|r4k|ioi ld a, (bc);dec bc
ioi ldd a, (bc)|r5k|ioi ld a, (bc);dec bc
ioi ldd a, (bc)|r6k|ioi ld a, (bc);dec bc
ioi ldd a, (de)|r2ka|ioi ld a, (de);dec de
ioi ldd a, (de)|r3k|ioi ld a, (de);dec de
ioi ldd a, (de)|r4k|ioi ld a, (de);dec de
ioi ldd a, (de)|r5k|ioi ld a, (de);dec de
ioi ldd a, (de)|r6k|ioi ld a, (de);dec de
ioi ldd a, (hl)|r2ka|ioi ld a, (hl);dec hl
ioi ldd a, (hl)|r3k|ioi ld a, (hl);dec hl
ioi ldd a, (hl)|r4k|ioi ld a, (hl);dec hl
ioi ldd a, (hl)|r5k|ioi ld a, (hl);dec hl
ioi ldd a, (hl)|r6k|ioi ld a, (hl);dec hl
ioi ldd b', (hl)|r2ka|ioi ld b', (hl);dec hl
ioi ldd b', (hl)|r3k|ioi ld b', (hl);dec hl
ioi ldd b', (hl)|r4k|ioi ld b', (hl);dec hl
ioi ldd b', (hl)|r5k|ioi ld b', (hl);dec hl
ioi ldd b', (hl)|r6k|ioi ld b', (hl);dec hl
ioi ldd b, (hl)|r2ka|ioi ld b, (hl);dec hl
ioi ldd b, (hl)|r3k|ioi ld b, (hl);dec hl
ioi ldd b, (hl)|r4k|ioi ld b, (hl);dec hl
ioi ldd b, (hl)|r5k|ioi ld b, (hl);dec hl
ioi ldd b, (hl)|r6k|ioi ld b, (hl);dec hl
ioi ldd c', (hl)|r2ka|ioi ld c', (hl);dec hl
ioi ldd c', (hl)|r3k|ioi ld c', (hl);dec hl
ioi ldd c', (hl)|r4k|ioi ld c', (hl);dec hl
ioi ldd c', (hl)|r5k|ioi ld c', (hl);dec hl
ioi ldd c', (hl)|r6k|ioi ld c', (hl);dec hl
ioi ldd c, (hl)|r2ka|ioi ld c, (hl);dec hl
ioi ldd c, (hl)|r3k|ioi ld c, (hl);dec hl
ioi ldd c, (hl)|r4k|ioi ld c, (hl);dec hl
ioi ldd c, (hl)|r5k|ioi ld c, (hl);dec hl
ioi ldd c, (hl)|r6k|ioi ld c, (hl);dec hl
ioi ldd d', (hl)|r2ka|ioi ld d', (hl);dec hl
ioi ldd d', (hl)|r3k|ioi ld d', (hl);dec hl
ioi ldd d', (hl)|r4k|ioi ld d', (hl);dec hl
ioi ldd d', (hl)|r5k|ioi ld d', (hl);dec hl
ioi ldd d', (hl)|r6k|ioi ld d', (hl);dec hl
ioi ldd d, (hl)|r2ka|ioi ld d, (hl);dec hl
ioi ldd d, (hl)|r3k|ioi ld d, (hl);dec hl
ioi ldd d, (hl)|r4k|ioi ld d, (hl);dec hl
ioi ldd d, (hl)|r5k|ioi ld d, (hl);dec hl
ioi ldd d, (hl)|r6k|ioi ld d, (hl);dec hl
ioi ldd e', (hl)|r2ka|ioi ld e', (hl);dec hl
ioi ldd e', (hl)|r3k|ioi ld e', (hl);dec hl
ioi ldd e', (hl)|r4k|ioi ld e', (hl);dec hl
ioi ldd e', (hl)|r5k|ioi ld e', (hl);dec hl
ioi ldd e', (hl)|r6k|ioi ld e', (hl);dec hl
ioi ldd e, (hl)|r2ka|ioi ld e, (hl);dec hl
ioi ldd e, (hl)|r3k|ioi ld e, (hl);dec hl
ioi ldd e, (hl)|r4k|ioi ld e, (hl);dec hl
ioi ldd e, (hl)|r5k|ioi ld e, (hl);dec hl
ioi ldd e, (hl)|r6k|ioi ld e, (hl);dec hl
ioi ldd h', (hl)|r2ka|ioi ld h', (hl);dec hl
ioi ldd h', (hl)|r3k|ioi ld h', (hl);dec hl
ioi ldd h', (hl)|r4k|ioi ld h', (hl);dec hl
ioi ldd h', (hl)|r5k|ioi ld h', (hl);dec hl
ioi ldd h', (hl)|r6k|ioi ld h', (hl);dec hl
ioi ldd h, (hl)|r2ka|ioi ld h, (hl);dec hl
ioi ldd h, (hl)|r3k|ioi ld h, (hl);dec hl
ioi ldd h, (hl)|r4k|ioi ld h, (hl);dec hl
ioi ldd h, (hl)|r5k|ioi ld h, (hl);dec hl
ioi ldd h, (hl)|r6k|ioi ld h, (hl);dec hl
ioi ldd l', (hl)|r2ka|ioi ld l', (hl);dec hl
ioi ldd l', (hl)|r3k|ioi ld l', (hl);dec hl
ioi ldd l', (hl)|r4k|ioi ld l', (hl);dec hl
ioi ldd l', (hl)|r5k|ioi ld l', (hl);dec hl
ioi ldd l', (hl)|r6k|ioi ld l', (hl);dec hl
ioi ldd l, (hl)|r2ka|ioi ld l, (hl);dec hl
ioi ldd l, (hl)|r3k|ioi ld l, (hl);dec hl
ioi ldd l, (hl)|r4k|ioi ld l, (hl);dec hl
ioi ldd l, (hl)|r5k|ioi ld l, (hl);dec hl
ioi ldd l, (hl)|r6k|ioi ld l, (hl);dec hl
ioi ldi (bc), a|r2ka|ioi ld (bc), a;inc bc
ioi ldi (bc), a|r3k|ioi ld (bc), a;inc bc
ioi ldi (bc), a|r4k|ioi ld (bc), a;inc bc
ioi ldi (bc), a|r5k|ioi ld (bc), a;inc bc
ioi ldi (bc), a|r6k|ioi ld (bc), a;inc bc
ioi ldi (bc), a'|r6k|ioi ld (bc), a';inc bc
ioi ldi (de), a|r2ka|ioi ld (de), a;inc de
ioi ldi (de), a|r3k|ioi ld (de), a;inc de
ioi ldi (de), a|r4k|ioi ld (de), a;inc de
ioi ldi (de), a|r5k|ioi ld (de), a;inc de
ioi ldi (de), a|r6k|ioi ld (de), a;inc de
ioi ldi (de), a'|r6k|ioi ld (de), a';inc de
ioi ldi (hl), %n|r2ka|ioi ld (hl), %n;inc hl
ioi ldi (hl), %n|r3k|ioi ld (hl), %n;inc hl
ioi ldi (hl), %n|r4k|ioi ld (hl), %n;inc hl
ioi ldi (hl), %n|r5k|ioi ld (hl), %n;inc hl
ioi ldi (hl), %n|r6k|ioi ld (hl), %n;inc hl
ioi ldi (hl), a|r2ka|ioi ld (hl), a;inc hl
ioi ldi (hl), a|r3k|ioi ld (hl), a;inc hl
ioi ldi (hl), a|r4k|ioi ld (hl), a;inc hl
ioi ldi (hl), a|r5k|ioi ld (hl), a;inc hl
ioi ldi (hl), a|r6k|ioi ld (hl), a;inc hl
ioi ldi (hl), a'|r6k|ioi ld (hl), a';inc hl
ioi ldi (hl), b|r2ka|ioi ld (hl), b;inc hl
ioi ldi (hl), b|r3k|ioi ld (hl), b;inc hl
ioi ldi (hl), b|r4k|ioi ld (hl), b;inc hl
ioi ldi (hl), b|r5k|ioi ld (hl), b;inc hl
ioi ldi (hl), b|r6k|ioi ld (hl), b;inc hl
ioi ldi (hl), b'|r6k|ioi ld (hl), b';inc hl
ioi ldi (hl), c|r2ka|ioi ld (hl), c;inc hl
ioi ldi (hl), c|r3k|ioi ld (hl), c;inc hl
ioi ldi (hl), c|r4k|ioi ld (hl), c;inc hl
ioi ldi (hl), c|r5k|ioi ld (hl), c;inc hl
ioi ldi (hl), c|r6k|ioi ld (hl), c;inc hl
ioi ldi (hl), c'|r6k|ioi ld (hl), c';inc hl
ioi ldi (hl), d|r2ka|ioi ld (hl), d;inc hl
ioi ldi (hl), d|r3k|ioi ld (hl), d;inc hl
ioi ldi (hl), d|r4k|ioi ld (hl), d;inc hl
ioi ldi (hl), d|r5k|ioi ld (hl), d;inc hl
ioi ldi (hl), d|r6k|ioi ld (hl), d;inc hl
ioi ldi (hl), d'|r6k|ioi ld (hl), d';inc hl
ioi ldi (hl), e|r2ka|ioi ld (hl), e;inc hl
ioi ldi (hl), e|r3k|ioi ld (hl), e;inc hl
ioi ldi (hl), e|r4k|ioi ld (hl), e;inc hl
ioi ldi (hl), e|r5k|ioi ld (hl), e;inc hl
ioi ldi (hl), e|r6k|ioi ld (hl), e;inc hl
ioi ldi (hl), e'|r6k|ioi ld (hl), e';inc hl
ioi ldi (hl), h|r2ka|ioi ld (hl), h;inc hl
ioi ldi (hl), h|r3k|ioi ld (hl), h;inc hl
ioi ldi (hl), h|r4k|ioi ld (hl), h;inc hl
ioi ldi (hl), h|r5k|ioi ld (hl), h;inc hl
ioi ldi (hl), h|r6k|ioi ld (hl), h;inc hl
ioi ldi (hl), h'|r6k|ioi ld (hl), h';inc hl
ioi ldi (hl), l|r2ka|ioi ld (hl), l;inc hl
ioi ldi (hl), l|r3k|ioi ld (hl), l;inc hl
ioi ldi (hl), l|r4k|ioi ld (hl), l;inc hl
ioi ldi (hl), l|r5k|ioi ld (hl), l;inc hl
ioi ldi (hl), l|r6k|ioi ld (hl), l;inc hl
ioi ldi (hl), l'|r6k|ioi ld (hl), l';inc hl
ioi ldi a', (bc)|r2ka|ioi ld a', (bc);inc bc
ioi ldi a', (bc)|r3k|ioi ld a', (bc);inc bc
ioi ldi a', (bc)|r4k|ioi ld a', (bc);inc bc
ioi ldi a', (bc)|r5k|ioi ld a', (bc);inc bc
ioi ldi a', (bc)|r6k|ioi ld a', (bc);inc bc
ioi ldi a', (de)|r2ka|ioi ld a', (de);inc de
ioi ldi a', (de)|r3k|ioi ld a', (de);inc de
ioi ldi a', (de)|r4k|ioi ld a', (de);inc de
ioi ldi a', (de)|r5k|ioi ld a', (de);inc de
ioi ldi a', (de)|r6k|ioi ld a', (de);inc de
ioi ldi a', (hl)|r2ka|ioi ld a', (hl);inc hl
ioi ldi a', (hl)|r3k|ioi ld a', (hl);inc hl
ioi ldi a', (hl)|r4k|ioi ld a', (hl);inc hl
ioi ldi a', (hl)|r5k|ioi ld a', (hl);inc hl
ioi ldi a', (hl)|r6k|ioi ld a', (hl);inc hl
ioi ldi a, (bc)|r2ka|ioi ld a, (bc);inc bc
ioi ldi a, (bc)|r3k|ioi ld a, (bc);inc bc
ioi ldi a, (bc)|r4k|ioi ld a, (bc);inc bc
ioi ldi a, (bc)|r5k|ioi ld a, (bc);inc bc
ioi ldi a, (bc)|r6k|ioi ld a, (bc);inc bc
ioi ldi a, (de)|r2ka|ioi ld a, (de);inc de
ioi ldi a, (de)|r3k|ioi ld a, (de);inc de
ioi ldi a, (de)|r4k|ioi ld a, (de);inc de
ioi ldi a, (de)|r5k|ioi ld a, (de);inc de
ioi ldi a, (de)|r6k|ioi ld a, (de);inc de
ioi ldi a, (hl)|r2ka|ioi ld a, (hl);inc hl
ioi ldi a, (hl)|r3k|ioi ld a, (hl);inc hl
ioi ldi a, (hl)|r4k|ioi ld a, (hl);inc hl
ioi ldi a, (hl)|r5k|ioi ld a, (hl);inc hl
ioi ldi a, (hl)|r6k|ioi ld a, (hl);inc hl
ioi ldi b', (hl)|r2ka|ioi ld b', (hl);inc hl
ioi ldi b', (hl)|r3k|ioi ld b', (hl);inc hl
ioi ldi b', (hl)|r4k|ioi ld b', (hl);inc hl
ioi ldi b', (hl)|r5k|ioi ld b', (hl);inc hl
ioi ldi b', (hl)|r6k|ioi ld b', (hl);inc hl
ioi ldi b, (hl)|r2ka|ioi ld b, (hl);inc hl
ioi ldi b, (hl)|r3k|ioi ld b, (hl);inc hl
ioi ldi b, (hl)|r4k|ioi ld b, (hl);inc hl
ioi ldi b, (hl)|r5k|ioi ld b, (hl);inc hl
ioi ldi b, (hl)|r6k|ioi ld b, (hl);inc hl
ioi ldi c', (hl)|r2ka|ioi ld c', (hl);inc hl
ioi ldi c', (hl)|r3k|ioi ld c', (hl);inc hl
ioi ldi c', (hl)|r4k|ioi ld c', (hl);inc hl
ioi ldi c', (hl)|r5k|ioi ld c', (hl);inc hl
ioi ldi c', (hl)|r6k|ioi ld c', (hl);inc hl
ioi ldi c, (hl)|r2ka|ioi ld c, (hl);inc hl
ioi ldi c, (hl)|r3k|ioi ld c, (hl);inc hl
ioi ldi c, (hl)|r4k|ioi ld c, (hl);inc hl
ioi ldi c, (hl)|r5k|ioi ld c, (hl);inc hl
ioi ldi c, (hl)|r6k|ioi ld c, (hl);inc hl
ioi ldi d', (hl)|r2ka|ioi ld d', (hl);inc hl
ioi ldi d', (hl)|r3k|ioi ld d', (hl);inc hl
ioi ldi d', (hl)|r4k|ioi ld d', (hl);inc hl
ioi ldi d', (hl)|r5k|ioi ld d', (hl);inc hl
ioi ldi d', (hl)|r6k|ioi ld d', (hl);inc hl
ioi ldi d, (hl)|r2ka|ioi ld d, (hl);inc hl
ioi ldi d, (hl)|r3k|ioi ld d, (hl);inc hl
ioi ldi d, (hl)|r4k|ioi ld d, (hl);inc hl
ioi ldi d, (hl)|r5k|ioi ld d, (hl);inc hl
ioi ldi d, (hl)|r6k|ioi ld d, (hl);inc hl
ioi ldi e', (hl)|r2ka|ioi ld e', (hl);inc hl
ioi ldi e', (hl)|r3k|ioi ld e', (hl);inc hl
ioi ldi e', (hl)|r4k|ioi ld e', (hl);inc hl
ioi ldi e', (hl)|r5k|ioi ld e', (hl);inc hl
ioi ldi e', (hl)|r6k|ioi ld e', (hl);inc hl
ioi ldi e, (hl)|r2ka|ioi ld e, (hl);inc hl
ioi ldi e, (hl)|r3k|ioi ld e, (hl);inc hl
ioi ldi e, (hl)|r4k|ioi ld e, (hl);inc hl
ioi ldi e, (hl)|r5k|ioi ld e, (hl);inc hl
ioi ldi e, (hl)|r6k|ioi ld e, (hl);inc hl
ioi ldi h', (hl)|r2ka|ioi ld h', (hl);inc hl
ioi ldi h', (hl)|r3k|ioi ld h', (hl);inc hl
ioi ldi h', (hl)|r4k|ioi ld h', (hl);inc hl
ioi ldi h', (hl)|r5k|ioi ld h', (hl);inc hl
ioi ldi h', (hl)|r6k|ioi ld h', (hl);inc hl
ioi ldi h, (hl)|r2ka|ioi ld h, (hl);inc hl
ioi ldi h, (hl)|r3k|ioi ld h, (hl);inc hl
ioi ldi h, (hl)|r4k|ioi ld h, (hl);inc hl
ioi ldi h, (hl)|r5k|ioi ld h, (hl);inc hl
ioi ldi h, (hl)|r6k|ioi ld h, (hl);inc hl
ioi ldi l', (hl)|r2ka|ioi ld l', (hl);inc hl
ioi ldi l', (hl)|r3k|ioi ld l', (hl);inc hl
ioi ldi l', (hl)|r4k|ioi ld l', (hl);inc hl
ioi ldi l', (hl)|r5k|ioi ld l', (hl);inc hl
ioi ldi l', (hl)|r6k|ioi ld l', (hl);inc hl
ioi ldi l, (hl)|r2ka|ioi ld l, (hl);inc hl
ioi ldi l, (hl)|r3k|ioi ld l, (hl);inc hl
ioi ldi l, (hl)|r4k|ioi ld l, (hl);inc hl
ioi ldi l, (hl)|r5k|ioi ld l, (hl);inc hl
ioi ldi l, (hl)|r6k|ioi ld l, (hl);inc hl
ioi or (hl+)|r2ka|ioi or (hl);inc hl
ioi or (hl+)|r3k|ioi or (hl);inc hl
ioi or (hl+)|r4k|ioi or (hl);inc hl
ioi or (hl+)|r5k|ioi or (hl);inc hl
ioi or (hl+)|r6k|ioi or (hl);inc hl
ioi or (hl-)|r2ka|ioi or (hl);dec hl
ioi or (hl-)|r3k|ioi or (hl);dec hl
ioi or (hl-)|r4k|ioi or (hl);dec hl
ioi or (hl-)|r5k|ioi or (hl);dec hl
ioi or (hl-)|r6k|ioi or (hl);dec hl
ioi or a', (hl+)|r2ka|ioi altd or (hl);inc hl
ioi or a', (hl+)|r3k|ioi altd or (hl);inc hl
ioi or a', (hl+)|r4k|ioi altd or (hl);inc hl
ioi or a', (hl+)|r5k|ioi altd or (hl);inc hl
ioi or a', (hl+)|r6k|ioi altd or (hl);inc hl
ioi or a', (hl-)|r2ka|ioi altd or (hl);dec hl
ioi or a', (hl-)|r3k|ioi altd or (hl);dec hl
ioi or a', (hl-)|r4k|ioi altd or (hl);dec hl
ioi or a', (hl-)|r5k|ioi altd or (hl);dec hl
ioi or a', (hl-)|r6k|ioi altd or (hl);dec hl
ioi or a, (hl+)|r2ka|ioi or (hl);inc hl
ioi or a, (hl+)|r3k|ioi or (hl);inc hl
ioi or a, (hl+)|r4k|ioi or (hl);inc hl
ioi or a, (hl+)|r5k|ioi or (hl);inc hl
ioi or a, (hl+)|r6k|ioi or (hl);inc hl
ioi or a, (hl-)|r2ka|ioi or (hl);dec hl
ioi or a, (hl-)|r3k|ioi or (hl);dec hl
ioi or a, (hl-)|r4k|ioi or (hl);dec hl
ioi or a, (hl-)|r5k|ioi or (hl);dec hl
ioi or a, (hl-)|r6k|ioi or (hl);dec hl
ioi sbc (hl+)|r2ka|ioi sbc a, (hl);inc hl
ioi sbc (hl+)|r3k|ioi sbc a, (hl);inc hl
ioi sbc (hl+)|r4k|ioi sbc a, (hl);inc hl
ioi sbc (hl+)|r5k|ioi sbc a, (hl);inc hl
ioi sbc (hl+)|r6k|ioi sbc a, (hl);inc hl
ioi sbc (hl-)|r2ka|ioi sbc a, (hl);dec hl
ioi sbc (hl-)|r3k|ioi sbc a, (hl);dec hl
ioi sbc (hl-)|r4k|ioi sbc a, (hl);dec hl
ioi sbc (hl-)|r5k|ioi sbc a, (hl);dec hl
ioi sbc (hl-)|r6k|ioi sbc a, (hl);dec hl
ioi sbc a', (hl+)|r2ka|ioi sbc a', (hl);inc hl
ioi sbc a', (hl+)|r3k|ioi sbc a', (hl);inc hl
ioi sbc a', (hl+)|r4k|ioi sbc a', (hl);inc hl
ioi sbc a', (hl+)|r5k|ioi sbc a', (hl);inc hl
ioi sbc a', (hl+)|r6k|ioi sbc a', (hl);inc hl
ioi sbc a', (hl-)|r2ka|ioi sbc a', (hl);dec hl
ioi sbc a', (hl-)|r3k|ioi sbc a', (hl);dec hl
ioi sbc a', (hl-)|r4k|ioi sbc a', (hl);dec hl
ioi sbc a', (hl-)|r5k|ioi sbc a', (hl);dec hl
ioi sbc a', (hl-)|r6k|ioi sbc a', (hl);dec hl
ioi sbc a, (hl+)|r2ka|ioi sbc a, (hl);inc hl
ioi sbc a, (hl+)|r3k|ioi sbc a, (hl);inc hl
ioi sbc a, (hl+)|r4k|ioi sbc a, (hl);inc hl
ioi sbc a, (hl+)|r5k|ioi sbc a, (hl);inc hl
ioi sbc a, (hl+)|r6k|ioi sbc a, (hl);inc hl
ioi sbc a, (hl-)|r2ka|ioi sbc a, (hl);dec hl
ioi sbc a, (hl-)|r3k|ioi sbc a, (hl);dec hl
ioi sbc a, (hl-)|r4k|ioi sbc a, (hl);dec hl
ioi sbc a, (hl-)|r5k|ioi sbc a, (hl);dec hl
ioi sbc a, (hl-)|r6k|ioi sbc a, (hl);dec hl
ioi sub (hl+)|r2ka|ioi sub (hl);inc hl
ioi sub (hl+)|r3k|ioi sub (hl);inc hl
ioi sub (hl+)|r4k|ioi sub (hl);inc hl
ioi sub (hl+)|r5k|ioi sub (hl);inc hl
ioi sub (hl+)|r6k|ioi sub (hl);inc hl
ioi sub (hl-)|r2ka|ioi sub (hl);dec hl
ioi sub (hl-)|r3k|ioi sub (hl);dec hl
ioi sub (hl-)|r4k|ioi sub (hl);dec hl
ioi sub (hl-)|r5k|ioi sub (hl);dec hl
ioi sub (hl-)|r6k|ioi sub (hl);dec hl
ioi sub a', (hl+)|r2ka|ioi altd sub (hl);inc hl
ioi sub a', (hl+)|r3k|ioi altd sub (hl);inc hl
ioi sub a', (hl+)|r4k|ioi altd sub (hl);inc hl
ioi sub a', (hl+)|r5k|ioi altd sub (hl);inc hl
ioi sub a', (hl+)|r6k|ioi altd sub (hl);inc hl
ioi sub a', (hl-)|r2ka|ioi altd sub (hl);dec hl
ioi sub a', (hl-)|r3k|ioi altd sub (hl);dec hl
ioi sub a', (hl-)|r4k|ioi altd sub (hl);dec hl
ioi sub a', (hl-)|r5k|ioi altd sub (hl);dec hl
ioi sub a', (hl-)|r6k|ioi altd sub (hl);dec hl
ioi sub a, (hl+)|r2ka|ioi sub (hl);inc hl
ioi sub a, (hl+)|r3k|ioi sub (hl);inc hl
ioi sub a, (hl+)|r4k|ioi sub (hl);inc hl
ioi sub a, (hl+)|r5k|ioi sub (hl);inc hl
ioi sub a, (hl+)|r6k|ioi sub (hl);inc hl
ioi sub a, (hl-)|r2ka|ioi sub (hl);dec hl
ioi sub a, (hl-)|r3k|ioi sub (hl);dec hl
ioi sub a, (hl-)|r4k|ioi sub (hl);dec hl
ioi sub a, (hl-)|r5k|ioi sub (hl);dec hl
ioi sub a, (hl-)|r6k|ioi sub (hl);dec hl
ioi xor (hl+)|r2ka|ioi xor (hl);inc hl
ioi xor (hl+)|r3k|ioi xor (hl);inc hl
ioi xor (hl+)|r4k|ioi xor (hl);inc hl
ioi xor (hl+)|r5k|ioi xor (hl);inc hl
ioi xor (hl+)|r6k|ioi xor (hl);inc hl
ioi xor (hl-)|r2ka|ioi xor (hl);dec hl
ioi xor (hl-)|r3k|ioi xor (hl);dec hl
ioi xor (hl-)|r4k|ioi xor (hl);dec hl
ioi xor (hl-)|r5k|ioi xor (hl);dec hl
ioi xor (hl-)|r6k|ioi xor (hl);dec hl
ioi xor a', (hl+)|r2ka|ioi altd xor (hl);inc hl
ioi xor a', (hl+)|r3k|ioi altd xor (hl);inc hl
ioi xor a', (hl+)|r4k|ioi altd xor (hl);inc hl
ioi xor a', (hl+)|r5k|ioi altd xor (hl);inc hl
ioi xor a', (hl+)|r6k|ioi altd xor (hl);inc hl
ioi xor a', (hl-)|r2ka|ioi altd xor (hl);dec hl
ioi xor a', (hl-)|r3k|ioi altd xor (hl);dec hl
ioi xor a', (hl-)|r4k|ioi altd xor (hl);dec hl
ioi xor a', (hl-)|r5k|ioi altd xor (hl);dec hl
ioi xor a', (hl-)|r6k|ioi altd xor (hl);dec hl
ioi xor a, (hl+)|r2ka|ioi xor (hl);inc hl
ioi xor a, (hl+)|r3k|ioi xor (hl);inc hl
ioi xor a, (hl+)|r4k|ioi xor (hl);inc hl
ioi xor a, (hl+)|r5k|ioi xor (hl);inc hl
ioi xor a, (hl+)|r6k|ioi xor (hl);inc hl
ioi xor a, (hl-)|r2ka|ioi xor (hl);dec hl
ioi xor a, (hl-)|r3k|ioi xor (hl);dec hl
ioi xor a, (hl-)|r4k|ioi xor (hl);dec hl
ioi xor a, (hl-)|r5k|ioi xor (hl);dec hl
ioi xor a, (hl-)|r6k|ioi xor (hl);dec hl
j_eq %m|8080|jz %m
j_eq %m|8085|jz %m
j_eq %m|ez80|jp z, %m
j_eq %m|ez80_z80|jp z, %m
j_eq %m|gbz80|jp z, %m
j_eq %m|kc160|jp z, %m
j_eq %m|kc160_z80|jp z, %m
j_eq %m|r2ka|jp z, %m
j_eq %m|r3k|jp z, %m
j_eq %m|r4k|jp z, %m
j_eq %m|r5k|jp z, %m
j_eq %m|r6k|jp z, %m
j_eq %m|r800|jp z, %m
j_eq %m|z180|jp z, %m
j_eq %m|z80|jp z, %m
j_eq %m|z80n|jp z, %m
j_ge %m|r4k|jp lt, %t;jp %m;%t:
j_ge %m|r5k|jp lt, %t;jp %m;%t:
j_ge %m|r6k|jp lt, %t;jp %m;%t:
j_geu %m|8080|jnc %m
j_geu %m|8085|jnc %m
j_geu %m|ez80|jp nc, %m
j_geu %m|ez80_z80|jp nc, %m
j_geu %m|gbz80|jp nc, %m
j_geu %m|kc160|jp nc, %m
j_geu %m|kc160_z80|jp nc, %m
j_geu %m|r2ka|jp nc, %m
j_geu %m|r3k|jp nc, %m
j_geu %m|r4k|jp nc, %m
j_geu %m|r5k|jp nc, %m
j_geu %m|r6k|jp nc, %m
j_geu %m|r800|jp nc, %m
j_geu %m|z180|jp nc, %m
j_geu %m|z80|jp nc, %m
j_geu %m|z80n|jp nc, %m
j_gtu %m|8080|jz %t;jnc %m;%t:
j_gtu %m|8085|jz %t;jnc %m;%t:
j_gtu %m|ez80|jr z, %t;jp nc, %m;%t:
j_gtu %m|ez80_z80|jr z, %t;jp nc, %m;%t:
j_gtu %m|gbz80|jr z, %t;jp nc, %m;%t:
j_gtu %m|kc160|jr z, %t;jp nc, %m;%t:
j_gtu %m|kc160_z80|jr z, %t;jp nc, %m;%t:
j_gtu %m|r2ka|jr z, %t;jp nc, %m;%t:
j_gtu %m|r3k|jr z, %t;jp nc, %m;%t:
j_gtu %m|r800|jr z, %t;jp nc, %m;%t:
j_gtu %m|z180|jr z, %t;jp nc, %m;%t:
j_gtu %m|z80|jr z, %t;jp nc, %m;%t:
j_gtu %m|z80n|jr z, %t;jp nc, %m;%t:
j_le %m|r4k|jp gt, %t;jp %m;%t:
j_le %m|r5k|jp gt, %t;jp %m;%t:
j_le %m|r6k|jp gt, %t;jp %m;%t:
j_leu %m|8080|jz %m;jc %m
j_leu %m|8085|jz %m;jc %m
j_leu %m|ez80|jp z, %m;jp c, %m
j_leu %m|ez80_z80|jp z, %m;jp c, %m
j_leu %m|gbz80|jp z, %m;jp c, %m
j_leu %m|kc160|jp z, %m;jp c, %m
j_leu %m|kc160_z80|jp z, %m;jp c, %m
j_leu %m|r2ka|jp z, %m;jp c, %m
j_leu %m|r3k|jp z, %m;jp c, %m
j_leu %m|r4k|jp gtu, %t;jp %m;%t:
j_leu %m|r5k|jp gtu, %t;jp %m;%t:
j_leu %m|r6k|jp gtu, %t;jp %m;%t:
j_leu %m|r800|jp z, %m;jp c, %m
j_leu %m|z180|jp z, %m;jp c, %m
j_leu %m|z80|jp z, %m;jp c, %m
j_leu %m|z80n|jp z, %m;jp c, %m
j_ltu %m|8080|jc %m
